id_aluno,nome,turma,media_geral,frequencia_media,status,media_geral_turma,frequencia_media_turma
78,FAUSTUS CORNELIUS,2B,5.75,76.0,Recuperação,6.64,74.23
79,MARCELLUS NERO,2B,6.95,68.4,Recuperação,6.64,74.23
80,GAIUS MARIUS,2B,6.15,69.0,Recuperação,6.64,74.23
81,ARTHUR CERVERO,3A,7.45,81.8,Aprovado,6.66,74.69
82,JOUI JOUKI,3A,6.9,72.0,Recuperação,6.66,74.69
83,CESAR COHEN,3A,6.75,79.0,Recuperação,6.66,74.69
84,DANTE GASPAR,3A,6.85,76.2,Recuperação,6.66,74.69
85,BEATRICE PORTINARI,3A,6.3,79.0,Recuperação,6.66,74.69
86,LILIAN GALEN,3A,6.85,66.0,Recuperação,6.66,74.69
87,ERIN PARKER,3A,6.7,73.2,Recuperação,6.66,74.69
88,FERNANDO CARVALHO,3A,6.5,75.6,Recuperação,6.66,74.69
89,LUCIANO CARVALHO,3A,7.0,72.2,Aprovado,6.66,74.69
90,ANTONIO PONTEVEDRA,3A,6.95,74.0,Recuperação,6.66,74.69
91,CARINA LEONE,3A,6.35,79.4,Recuperação,6.66,74.69
92,RUBENS NALUTI,3A,6.75,76.4,Recuperação,6.66,74.69
93,ELIZABETH WEBBER,3A,6.6,75.4,Recuperação,6.66,74.69
94,THIAGO FRITZ,3A,5.85,72.4,Recuperação,6.66,74.69
95,CRISTOPHER COHEN,3A,6.7,64.4,Recuperação,6.66,74.69
96,ARNALDO FRITZ,3A,6.6,74.4,Recuperação,6.66,74.69
97,IVETE BEICUR,3A,6.7,75.8,Recuperação,6.66,74.69
98,BRULIO CERVERO,3A,7.1,74.2,Aprovado,6.66,74.69
99,TRISTAN MONTEIRO,3A,6.25,79.2,Recuperação,6.66,74.69
100,MARCELA GELEERD,3A,6.05,73.2,Recuperação,6.66,74.69
101,JIRO YUKAMI,3B,6.9,72.0,Recuperação,6.69,76.11
102,NAOMI AKECHI,3B,7.35,70.4,Aprovado,6.69,76.11
103,KENAN THOMAS,3B,6.95,81.8,Recuperação,6.69,76.11
104,MARINA LARONA,3B,6.3,79.4,Recuperação,6.69,76.11
105,MIGUEL CARIAD,3B,7.0,75.8,Aprovado,6.69,76.11
106,ANTHONY SCELTO,3B,6.65,79.4,Recuperação,6.69,76.11
107,ERIKA DAGAN,3B,6.4,76.4,Recuperação,6.69,76.11
108,CLARA AGARIM,3B,6.8,81.4,Recuperação,6.69,76.11
109,LEONARDO GOMES,3B,5.85,71.2,Recuperação,6.69,76.11
110,RANA NUBI,3B,6.75,72.8,Recuperação,6.69,76.11
111,VIRGÍLIO SCELTO,3B,7.0,75.8,Aprovado,6.69,76.11
112,BERNARDETTE LEROY,3B,6.7,82.4,Recuperação,6.69,76.11
113,DÉSIRÉE MENET,3B,7.05,79.2,Aprovado,6.69,76.11
114,DOMINIC SY PIERRE,3B,6.3,70.4,Recuperação,6.69,76.11
115,YUKI SAITO,3B,7.25,69.6,Aprovado,6.69,76.11
116,ERIC JOUR,3B,6.55,85.8,Recuperação,6.69,76.11
117,EVA VAN GLOSS,3B,6.45,80.0,Recuperação,6.69,76.11
118,MICK VULTZ,3B,6.65,64.4,Recuperação,6.69,76.11
119,PAULA VERDANTE,3B,6.7,74.4,Recuperação,6.69,76.11
120,VALTER LUZ,3B,6.25,79.6,Recuperação,6.69,76.11
